Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross,Profit,Ratio
5/20/2016,Alice Through the Looking Glass,170000000,77042381,276928112,106928112,0.613878
5/21/2010,Shrek Forever After,165000000,238736787,756244673,591244673,0.218183
10/24/2016,Doctor Strange,165000000,232641920,676354481,511354481,0.243955
10/25/2014,Big Hero 6,165000000,222527828,649657407,484657407,0.25398
3/26/2010,How to Train Your Dragon,165000000,217581232,494870992,329870992,0.33342
11/1/2012,Wreck-It Ralph,165000000,189412677,496511521,331511521,0.332319
11/5/2014,Interstellar,165000000,188017894,651994868,486994868,0.253069
9/15/2021,Dune,165000000,105010871,383110871,218110871,0.430685
6/22/2016,Independence Day: Resurgence,165000000,103144286,384169424,219169424,0.429498
7/29/2011,Cowboys and Aliens,163000000,100368560,176038324,13038324,0.925935
3/16/2017,Beauty and the Beast,160000000,504014165,1253802559,1093802559,0.127612
6/27/2019,Spider-Man: Far From Home,160000000,390532085,1131113066,971113066,0.141454
12/6/2018,Aquaman,160000000,335061807,1143758700,983758700,0.13989
5/17/2007,Shrek the Third,160000000,322719944,807330936,647330936,0.198184
7/16/2010,Inception,160000000,292576195,728582465,568582465,0.219605
11/18/2015,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,488986787,0.246538
5/17/2013,Fast and Furious 6,160000000,238679850,789300444,629300444,0.202711
5/14/2014,Godzilla,160000000,200676069,529076069,369076069,0.302414
6/3/2011,X-Men: First Class,160000000,146408305,355408305,195408305,0.450186
12/25/2008,The Curious Case of Benjamin Button,160000000,127509326,329631958,169631958,0.48539
7/14/2010,The Sorcerer's Apprentice,160000000,63150991,217986320,57986320,0.733991
5/12/2006,Poseidon,160000000,60674817,181674817,21674817,0.880694
5/25/2016,Warcraft,160000000,47365290,438899824,278899824,0.364548
11/1/2019,The Irishman,159000000,0,910234,-158089766,174.68
9/29/2016,Deepwater Horizon,156000000,61433527,122603824,-33396176,1.27239
12/10/2010,The Chronicles of Narnia: The Voyage of the Daw…,155000000,104386950,418186950,263186950,0.370648
3/25/2021,Godzilla vs. Kong,155000000,100563133,467826620,312826620,0.331319
6/24/2015,Terminator: Genisys,155000000,89760956,432150894,277150894,0.358671
3/16/2018,Pacific Rim: Uprising,155000000,59874525,290930148,135930148,0.532774
11/24/2004,Alexander,155000000,34297191,167297191,12297191,0.926495
7/14/2017,War for the Planet of the Apes,152000000,146880162,489592267,337592267,0.310462
5/25/2001,Pearl Harbor,151500000,198539855,449239853,297739853,0.337236
7/2/2007,Transformers,151000000,319246193,708272592,557272592,0.213195
11/20/2019,Frozen II,150000000,477373578,1445182280,1295182280,0.103793
5/29/2017,Wonder Woman,150000000,412563408,818058221,668058221,0.183361
11/22/2013,Frozen,150000000,400953009,1265767173,1115767173,0.118505
2/10/2016,Zootopia,150000000,341268248,1004629935,854629935,0.149309
7/11/2007,Harry Potter and the Order of the Phoenix,150000000,292137260,940043931,790043931,0.159567
11/18/2005,Harry Potter and the Goblet of Fire,150000000,290201752,887070413,737070413,0.169096
5/15/2003,The Matrix Reloaded,150000000,281553689,738576929,588576929,0.203093
12/14/2007,I am Legend,150000000,256393010,585532684,435532684,0.256177
1/27/2016,Moana,150000000,248757044,634965560,484965560,0.236233
7/1/2008,Hancock,150000000,227946274,624234272,474234272,0.240294
9/1/2021,Shang-Chi and the Legend of the Ten Rings,150000000,224543292,418148439,268148439,0.358724
7/15/2005,Charlie and the Chocolate Factory,150000000,206459076,475825484,325825484,0.315242
6/29/2007,Ratatouille,150000000,206445654,626549695,476549695,0.239406
10/30/2013,Thor: The Dark World,150000000,206362140,644602516,494602516,0.232702
6/15/2005,Batman Begins,150000000,205343774,358858124,208858124,0.417992
7/29/2015,Mission: Impossible—Rogue Nation,150000000,195042377,688858992,538858992,0.217751
7/18/2017,Dunkirk,150000000,190068280,519452014,369452014,0.288766
4/29/2011,Thor,150000000,181030624,449326618,299326618,0.333833
11/7/2008,Madagascar: Escape 2 Africa,150000000,180174880,599680774,449680774,0.250133
5/1/2009,X-Men Origins: Wolverine,150000000,179883157,374825760,224825760,0.400186
5/22/2009,Night at the Museum: Battle of the Smithsonian,150000000,177243721,402231063,252231063,0.37292
5/26/2011,Kung Fu Panda 2,150000000,165249063,664837547,514837547,0.225619
5/14/2015,Mad Max: Fury Road,150000000,153636354,367457874,217457874,0.40821
5/3/2019,Pokémon: Detective Pikachu,150000000,144105346,431482976,281482976,0.347638
11/5/2003,The Matrix Revolutions,150000000,139270910,427300260,277300260,0.351041
3/20/2018,Ready Player One,150000000,137690172,579055653,429055653,0.259042
11/4/2005,Chicken Little,150000000,135386665,310043823,160043823,0.483803
5/5/2006,Mission: Impossible III,150000000,133501348,399387745,249387745,0.375575
5/15/2009,Angels & Demons,150000000,133375846,490875846,340875846,0.305576
5/13/2004,Troy,150000000,133298577,483152040,333152040,0.310461
7/1/2010,The Last Airbender,150000000,131772187,319713881,169713881,0.469169
11/2/2007,Bee Movie,150000000,126631277,287594577,137594577,0.521568
7/24/2009,G-Force,150000000,119436770,292817841,142817841,0.512264
11/21/2008,Bolt,150000000,114053579,328015029,178015029,0.457296
3/28/2012,Wrath of the Titans,150000000,83670083,305270083,155270083,0.491368
11/16/2007,Beowulf,150000000,82280579,195080579,45080579,0.768913
5/9/2012,Dark Shadows,150000000,79727149,238202668,88202668,0.629716
6/28/2013,White House Down,150000000,73103784,205440387,55440387,0.730139
7/14/2021,Space Jam: A New Legacy,150000000,70528072,144032083,-5967917,1.04143
2/12/2010,The Wolfman,150000000,62189884,142634358,-7365642,1.05164
12/15/2016,The Great Wall,150000000,45157105,334486852,184486852,0.448448
9/25/2015,Pan,150000000,35088320,151525973,1525973,0.989929
3/11/2011,Mars Needs Moms,150000000,21392758,39549758,-110450242,3.79269
11/4/2021,Red Notice,150000000,0,173638,-149826362,863.866
