Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross ,Profit,Ratio
6/6/2008,Mongol,18000000,5705761,27147349,9147349,0.663048
10/8/2008,RocknRolla,18000000,5700626,27794339,9794339,0.647614
6/25/1982,Megaforce,18000000,5675599,5675599,-12324401,3.17147
8/20/2010,Mao's Last Dancer,18000000,4806750,25941437,7941437,0.693871
12/25/1996,Hamlet,18000000,4501094,7129670,-10870330,2.52466
4/11/2014,The Railway Man,18000000,4438438,23910210,5910210,0.752816
12/29/1995,Restoration,18000000,4100000,4100000,-13900000,4.39024
2/18/2016,Midnight Special,18000000,3712282,7680250,-10319750,2.34367
11/25/2016,Miss Sloane,18000000,3500605,7768259,-10231741,2.31712
9/27/2013,Metallica Through the Never,18000000,3419967,9082906,-8917094,1.98174
9/19/2003,Anything Else,18000000,3203044,13203044,-4796956,1.36332
2/23/1996,Unforgettable,18000000,2483790,2483790,-15516210,7.24699
1/27/2017,T2: Trainspotting,18000000,2402004,42137612,24137612,0.427172
12/30/2009,Das Weisse Band: Eine deutsche Kindergeschichte,18000000,2222862,25727044,7727044,0.699653
4/25/1986,8 Million Ways to Die,18000000,1305114,1305114,-16694886,13.7919
3/1/2013,Phantom,18000000,1034589,1199510,-16800490,15.0061
4/26/2002,The Salton Sea,18000000,676698,676698,-17323302,26.5998
4/24/2009,The Informers,18000000,315000,315000,-17685000,57.1429
9/24/1999,One Man's Hero,18000000,229311,229311,-17770689,78.496
10/15/2010,Carlos,18000000,145526,1619153,-16380847,11.1169
9/22/2006,Renaissance,18000000,70644,2401413,-15598587,7.49559
7/9/2002,My Spy,18000000,0,6983461,-11016539,2.57752
,I Come with the Rain,18000000,0,627422,-17372578,28.6888
4/14/2016,I Am Wrath,18000000,0,309608,-17690392,58.138
11/14/2014,Wolves,18000000,0,94953,-17905047,189.567
4/8/2008,Day of the Dead,18000000,0,0,-18000000,N/A
8/22/2014,The Prince,18000000,0,0,-18000000,N/A
2/19/2016,Forsaken,18000000,0,0,-18000000,N/A
6/28/1985,Red Sonja,17900000,6905861,6908640,-10991360,2.59096
12/19/2019,Baekdusan,17700000,372562,59505509,41805509,0.297451
7/13/2012,Red Lights,17700000,49521,14518884,-3181116,1.2191
8/17/2007,Superbad,17500000,121463226,169955142,152455142,0.102968
2/20/2009,Madea Goes To Jail,17500000,90508336,90508336,73008336,0.193352
2/14/2008,Step Up 2 the Streets,17500000,58017783,148586910,131086910,0.117776
1/13/2006,Hoodwinked,17500000,51386611,109843390,92343390,0.159318
12/22/2004,Hotel Rwanda,17500000,23519128,36520451,19020451,0.479184
8/25/2006,Beerfest,17500000,19185184,20159316,2659316,0.868085
11/27/2013,Black Nativity,17500000,7018188,7454184,-10045816,2.34767
4/25/2003,City of Ghosts,17500000,325491,325491,-17174509,53.7649
,Taxi 4,17500000,0,60865364,43365364,0.28752
2/22/2019,Hotel Mumbai,17300000,9619500,21132855,3832855,0.818631
4/4/2018,A Quiet Place,17000000,188024361,334876670,317876670,0.050765
8/10/2001,The Others,17000000,96522687,207765056,190765056,0.0818232
7/18/1986,Aliens,17000000,85160248,183300764,166300764,0.0927437
8/13/2014,Let’s Be Cops,17000000,82390774,136890774,119890774,0.124187
10/17/1997,I Know What You Did Last Summer,17000000,72250091,125250091,108250091,0.135728
10/22/2064,My Fair Lady,17000000,72000000,72071636,55071636,0.235876
10/22/2004,Sideways,17000000,71502303,109726800,92726800,0.15493
11/15/2013,The Best Man Holiday,17000000,70525195,72835710,55835710,0.233402
2/13/2009,Friday the 13th,17000000,65002019,92670237,75670237,0.183446
9/28/2012,Pitch Perfect,17000000,65001093,116044347,99044347,0.146496
8/5/1998,Halloween: H2O,17000000,55041738,55041738,38041738,0.308857
4/3/2013,Evil Dead,17000000,54239856,99041947,82041947,0.171644
8/27/2004,Jet Li's Hero,17000000,53652140,177535958,160535958,0.0957552
10/29/2010,Saw 3D,17000000,45710178,133735284,116735284,0.127117
2/20/2015,McFarland USA,17000000,44480275,45707924,28707924,0.371927
11/1/2019,Harriet,17000000,43082155,43248374,26248374,0.393078
11/11/2016,Almost Christmas,17000000,42065185,42493506,25493506,0.400061
3/10/2006,The Hills Have Eyes,17000000,41778863,70355813,53355813,0.241629
7/11/2019,Crawl,17000000,39014193,90007532,73007532,0.188873
3/1/2002,40 Days and 40 Nights,17000000,37939782,95092667,78092667,0.178773
10/10/2003,Good Boy!,17000000,37667746,45312217,28312217,0.375175
1/26/2007,Smokin' Aces,17000000,35662731,57263440,40263440,0.296874
10/2/1998,A Night at the Roxbury,17000000,30331165,30331165,13331165,0.56048
3/4/2011,Beastly,17000000,27865571,38028230,21028230,0.447036
3/5/2010,Brooklyn's Finest,17000000,27163593,39233233,22233233,0.433306
7/9/1982,Tron,17000000,26918576,26919100,9919100,0.631522
8/20/2010,Lottery Ticket,17000000,24719879,24719879,7719879,0.687706
9/5/2003,Dickie Roberts: Former Child Star,17000000,22734486,23734486,6734486,0.716257
3/31/2006,ATL,17000000,21170563,21170563,4170563,0.803002
8/24/2001,Summer Catch,17000000,19693891,19693891,2693891,0.863212
12/11/1998,A Simple Plan,17000000,16316273,16316273,-683727,1.0419
3/24/2006,Larry the Cable Guy: Health Inspector,17000000,15680099,15680099,-1319901,1.08418
