Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross,Profit,Profit%
4/1/2015,Furious 7,190000000,353007020,1516881526,1326881526,698.3586979
5/16/2013,Star Trek Into Darkness,190000000,228778661,467381584,277381584,145.9903074
6/19/2013,World War Z,190000000,202706711,531861650,341861650,179.9271842
5/10/2013,The Great Gatsby,190000000,144840419,353640419,163640419,86.12653632
11/6/2009,Disney’s A Christmas Carol,190000000,137855863,315709697,125709697,66.16299842
7/11/2013,Pacific Rim,190000000,101802906,411002906,221002906,116.3173189
11/25/2015,The Good Dinosaur,187500000,123087120,333771037,146271037,78.01121973
5/2/2008,Iron Man,186000000,318604126,585171547,399171547,214.6083586
7/11/2008,The Dark Knight,185000000,533720947,998615789,813615789,439.7923184
5/22/2008,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413,601635413,325.2083314
6/21/2012,Brave,185000000,237282182,554606532,369606532,199.7873146
2/23/2017,Kong: Skull Island,185000000,168052812,561072059,376072059,203.2821941
7/21/2016,Star Trek Beyond,185000000,158848340,335673708,150673708,81.44524757
10/17/2019,Maleficent: Mistress of Evil,185000000,113929605,489346495,304346495,164.5116189
9/29/2017,Blade Runner 2049,185000000,92054159,258829058,73829058,39.90759892
10/25/2019,Terminator: Dark Fate,185000000,62253077,250372367,65372367,35.33641459
7/28/2021,The Suicide Squad,185000000,55800219,167250021,-17749979,-9.594583243
5/22/2019,Aladdin,182000000,355559216,1046649706,864649706,475.082256
10/25/2017,Thor: Ragnarok,180000000,315058289,850482778,670482778,372.4904322
12/9/2005,The Chronicles of Narnia: The Lion the Witch a…,180000000,291710957,720539572,540539572,300.2997622
5/28/2014,Maleficent,180000000,241407328,758536735,578536735,321.4092972
11/14/2016,Fantastic Beasts and Where to Find Them,180000000,234037575,811724385,631724385,350.9579917
6/27/2008,WALL-E,180000000,223808164,532508025,352508025,195.8377917
8/10/2007,Rush Hour 3,180000000,140125968,256585882,76585882,42.54771222
6/27/2016,The Legend of Tarzan,180000000,126643061,348902025,168902025,93.83445833
11/23/2011,Hugo,180000000,73864507,180047784,47784,0.02654666667
7/20/2017,Valerian and the City of a Thousand Planets,180000000,40479370,215098356,35098356,19.49908667
2/6/2015,Jupiter Ascending,179000000,47482519,181982519,2982519,1.666211732
7/16/2018,Mission: Impossible—Fallout,178000000,220159104,787176729,609176729,342.2341174
5/18/2016,X-Men: Apocalypse,178000000,155442489,542537546,364537546,204.7963742
8/9/2018,The Meg,178000000,145443742,527370715,349370715,196.2756826
5/28/2014,Edge of Tomorrow,178000000,100206256,367028980,189028980,106.1960562
3/6/2019,Captain Marvel,175000000,426829839,1129727388,954727388,545.5585074
4/7/2016,The Jungle Book,175000000,364001123,953554418,778554418,444.8882389
6/12/2015,Inside Out,175000000,356461711,853641066,678641066,387.7948949
7/5/2017,Spider-Man: Homecoming,175000000,334201140,880166350,705166350,402.9522
8/2/2016,Suicide Squad,175000000,325100054,745744980,570744980,326.1399886
5/28/2009,Up,175000000,293004164,731463377,556463377,317.9790726
10/27/2017,Coco,175000000,210460015,797666425,622666425,355.8093857
11/21/2018,Ralph Breaks The Internet,175000000,201091711,529290830,354290830,202.4519029
3/27/2009,Monsters vs. Aliens,175000000,198351526,381687380,206687380,118.1070743
6/16/2017,Cars 3,175000000,152901115,383541369,208541369,119.1664966
8/7/2009,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017,127469017,72.83943829
6/30/1999,Wild Wild West,175000000,113805681,221229335,46229335,26.41676286
8/1/2008,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225,230760225,131.8629857
6/22/2007,Evan Almighty,175000000,100289690,174131329,-868671,-0.4963834286
7/28/1995,Waterworld,175000000,88246220,264246220,89246220,50.99784
1/8/2020,Dolittle,175000000,77047065,251409960,76409960,43.66283429
5/11/2017,King Arthur: Legend of the Sword,175000000,39175066,139630336,-35369664,-20.21123657
12/6/2013,47 Ronin,175000000,38362475,151716815,-23283185,-13.30467714
6/6/2018,Jurassic World: Fallen Kingdom,170000000,417719760,1308334005,1138334005,669.6082382
7/31/2014,Guardians of the Galaxy,170000000,333714112,770882395,600882395,353.4602324
5/7/2010,Iron Man 2,170000000,312433331,621156389,451156389,265.3861112
3/28/2014,Captain America: The Winter Soldier,170000000,259746958,714401889,544401889,320.2364053
7/9/2014,Dawn of the Planet of the Apes,170000000,208545589,710644566,540644566,318.0262153
11/10/2004,The Polar Express,170000000,188578855,312719437,142719437,83.95261
5/30/2012,Snow White and the Huntsman,170000000,155136755,401021746,231021746,135.8951447
7/1/2003,Terminator 3: Rise of the Machines,170000000,150358296,433058296,263058296,154.7401741
5/5/2004,Van Helsing,170000000,120150546,300150546,130150546,76.55914471
3/27/2019,Dumbo,170000000,114766307,353166307,183166307,107.7448865
5/29/2019,Godzilla: King of the Monsters,170000000,110500138,383299915,213299915,125.4705382
5/20/2015,Tomorrowland,170000000,93436322,206627518,36627518,21.54559882
2/1/2019,Alita: Battle Angel,170000000,85838210,401900040,231900040,136.4117882
5/20/2016,Alice Through the Looking Glass,170000000,77042381,276928112,106928112,62.89888941
5/21/2010,Shrek Forever After,165000000,238736787,756244673,591244673,358.3301048
10/24/2016,Doctor Strange,165000000,232641920,676354481,511354481,309.9118067
10/25/2014,Big Hero 6,165000000,222527828,649657407,484657407,293.7317618
3/26/2010,How to Train Your Dragon,165000000,217581232,494870992,329870992,199.9218133
11/1/2012,Wreck-It Ralph,165000000,189412677,496511521,331511521,200.9160733
11/5/2014,Interstellar,165000000,188017894,651994868,486994868,295.1484048
9/15/2021,Dune,165000000,105010871,383110871,218110871,132.1884067
6/22/2016,Independence Day: Resurgence,165000000,103144286,384169424,219169424,132.8299539
7/29/2011,Cowboys and Aliens,163000000,100368560,176038324,13038324,7.998971779
3/16/2017,Beauty and the Beast,160000000,504014165,1253802559,1093802559,683.6265994
